Arizona, Precipitation, November-December
Units: Inches
Missing: -99
Date,Value
194912,1.50
195012,0.16
195112,2.76
195212,2.96
195312,0.63
195412,0.43
195512,1.01
195612,0.20
195712,1.37
195812,0.72
195912,3.42
196012,1.15
196112,2.36
196212,1.68
196312,1.44
196412,1.73
196512,6.28
196612,2.22
196712,4.60
196812,1.84
196912,1.76
197012,1.10
197112,1.87
197212,2.61
197312,0.93
197412,1.09
197512,1.84
197612,0.72
197712,1.23
197812,6.19
197912,1.18
198012,0.45
198112,1.28
198212,4.46
198312,2.63
198412,4.37
198512,2.72
198612,2.65
198712,3.06
198812,1.11
198912,0.43
199012,2.16
199112,3.20
199212,3.37
199312,1.81
199412,3.43
199512,0.87
199612,0.98
199712,2.46
199812,1.32
199912,0.04
200012,0.96
200112,1.11
200212,1.50
200312,1.69
200412,3.42
200512,0.10
200612,0.44
200712,2.88
200812,2.78
200912,1.36
201012,1.86
201112,2.47
201212,1.67
201312,2.30
201412,1.58
201512,1.36
201612,3.07
201712,0.15
201812,0.98
201912,4.59
