Arizona, Average Temperature, November-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194912,46.9
195012,50.0
195112,43.7
195212,42.5
195312,45.0
195412,47.2
195512,47.4
195612,43.8
195712,44.6
195812,47.5
195912,46.1
196012,44.8
196112,42.8
196212,48.5
196312,45.7
196412,43.8
196512,47.4
196612,46.6
196712,44.5
196812,43.4
196912,46.6
197012,46.0
197112,43.0
197212,42.0
197312,46.2
197412,43.8
197512,45.3
197612,45.6
197712,49.3
197812,43.4
197912,45.0
198012,49.1
198112,48.8
198212,44.5
198312,46.6
198412,45.1
198512,45.4
198612,46.0
198712,43.8
198812,45.5
198912,46.8
199012,43.8
199112,45.4
199212,42.0
199312,44.6
199412,44.4
199512,49.8
199612,47.6
199712,45.2
199812,46.6
199912,48.6
200012,44.2
200112,46.6
200212,46.2
200312,45.9
200412,45.0
200512,48.2
200612,47.3
200712,47.6
200812,47.8
200912,46.0
201012,47.5
201112,44.6
201212,48.1
201312,46.4
201412,48.0
201512,44.6
201612,48.9
201712,52.1
201812,46.1
201912,47.2
